B0:,R85
B1:,R26
B10:,R32
B11:,R66
B12:,R69
B13:,R38
B14:,R46
B15:,R71
B16:,R31
B17:,R57
B18:,R6
B19:,R55
B2:,R90
B20:,R2
B21:,R0
B22:,R62
B23:,R5
B24:,R39
B25:,R14
B26:,R70
B27:,R18
B28:,R93
B29:,R29
B3:,R87
B30:,R44
B31:,R42
B32:,R58
B33:,R3
B34:,R95
B35:,R59
B36:,R30
B37:,R8
B38:,R50
B39:,R89
B4:,R12
B40:,R84
B41:,R49
B42:,R94
B43:,R27
B44:,R45
B45:,R16
B46:,R23
B47:,R74
B48:,R79
B49:,R99
B5:,R75
B50:,R10
B51:,R65
B52:,R41
B53:,R61
B54:,R47
B55:,R96
B56:,R17
B57:,R77
B58:,R54
B59:,R83
B6:,R64
B60:,R36
B61:,R7
B62:,R97
B63:,R33
B64:,R20
B65:,R60
B66:,R19
B67:,R78
B68:,R35
B69:,R4
B7:,R72
B70:,R51
B71:,R21
B72:,R63
B73:,R52
B74:,R53
B75:,R56
B76:,R98
B77:,R25
B78:,R88
B79:,R40
B8:,R91
B80:,R1
B81:,R37
B82:,R67
B83:,R73
B84:,R68
B85:,R13
B86:,R34
B87:,R81
B88:,R24
B89:,R92
B9:,R28
B90:,R11
B91:,R15
B92:,R43
B93:,R82
B94:,R48
B95:,R76
B96:,R80
B97:,R9
B98:,R86
B99:,R22
