R0:,B72
R1:,B20
R10:,B53
R11:,B98
R12:,B22
R13:,B96
R14:,B36
R15:,B93
R16:,B19
R17:,B4
R18:,B17
R19:,B75
R2:,B71
R20:,B11
R21:,B83
R22:,B86
R23:,B31
R24:,B32
R25:,B54
R26:,B52
R27:,B12
R28:,B66
R29:,B58
R3:,B38
R30:,B84
R31:,B49
R32:,B95
R33:,B47
R34:,B35
R35:,B51
R36:,B26
R37:,B5
R38:,B63
R39:,B67
R4:,B25
R40:,B9
R41:,B0
R42:,B42
R43:,B70
R44:,B8
R45:,B29
R46:,B78
R47:,B76
R48:,B61
R49:,B10
R5:,B14
R50:,B94
R51:,B97
R52:,B99
R53:,B56
R54:,B50
R55:,B80
R56:,B92
R57:,B37
R58:,B46
R59:,B89
R6:,B87
R60:,B68
R61:,B88
R62:,B3
R63:,B40
R64:,B7
R65:,B65
R66:,B18
R67:,B1
R68:,B73
R69:,B64
R7:,B82
R70:,B81
R71:,B2
R72:,B90
R73:,B44
R74:,B74
R75:,B91
R76:,B55
R77:,B45
R78:,B69
R79:,B15
R8:,B13
R80:,B39
R81:,B16
R82:,B77
R83:,B60
R84:,B43
R85:,B27
R86:,B6
R87:,B34
R88:,B33
R89:,B24
R9:,B57
R90:,B23
R91:,B59
R92:,B79
R93:,B21
R94:,B28
R95:,B62
R96:,B48
R97:,B30
R98:,B85
R99:,B41
