B0:,R27
B1:,R89
B10:,R2
B11:,R88
B12:,R71
B13:,R92
B14:,R86
B15:,R77
B16:,R48
B17:,R47
B18:,R45
B19:,R75
B2:,R32
B20:,R79
B21:,R3
B22:,R13
B23:,R14
B24:,R46
B25:,R64
B26:,R78
B27:,R26
B28:,R1
B29:,R39
B3:,R69
B30:,R31
B31:,R84
B32:,R53
B33:,R10
B34:,R70
B35:,R22
B36:,R9
B37:,R61
B38:,R28
B39:,R74
B4:,R58
B40:,R97
B41:,R35
B42:,R36
B43:,R90
B44:,R4
B45:,R72
B46:,R29
B47:,R94
B48:,R38
B49:,R0
B5:,R82
B50:,R6
B51:,R54
B52:,R24
B53:,R98
B54:,R67
B55:,R76
B56:,R65
B57:,R57
B58:,R85
B59:,R11
B6:,R49
B60:,R23
B61:,R40
B62:,R19
B63:,R66
B64:,R17
B65:,R50
B66:,R33
B67:,R7
B68:,R44
B69:,R51
B7:,R68
B70:,R43
B71:,R81
B72:,R55
B73:,R42
B74:,R73
B75:,R91
B76:,R96
B77:,R12
B78:,R93
B79:,R80
B8:,R25
B80:,R62
B81:,R63
B82:,R37
B83:,R95
B84:,R8
B85:,R60
B86:,R34
B87:,R56
B88:,R83
B89:,R87
B9:,R18
B90:,R5
B91:,R20
B92:,R16
B93:,R15
B94:,R59
B95:,R52
B96:,R41
B97:,R21
B98:,R99
B99:,R30
