R0:,B96
R1:,B5
R10:,B33
R11:,B91
R12:,B11
R13:,B52
R14:,B26
R15:,B81
R16:,B89
R17:,B58
R18:,B99
R19:,B93
R2:,B85
R20:,B92
R21:,B97
R22:,B6
R23:,B60
R24:,B69
R25:,B18
R26:,B62
R27:,B59
R28:,B16
R29:,B46
R3:,B22
R30:,B37
R31:,B65
R32:,B28
R33:,B73
R34:,B66
R35:,B41
R36:,B63
R37:,B2
R38:,B48
R39:,B94
R4:,B14
R40:,B61
R41:,B83
R42:,B64
R43:,B42
R44:,B21
R45:,B90
R46:,B70
R47:,B45
R48:,B98
R49:,B39
R5:,B78
R50:,B49
R51:,B75
R52:,B57
R53:,B53
R54:,B87
R55:,B86
R56:,B23
R57:,B32
R58:,B0
R59:,B54
R6:,B50
R60:,B68
R61:,B76
R62:,B38
R63:,B8
R64:,B25
R65:,B56
R66:,B27
R67:,B15
R68:,B79
R69:,B3
R7:,B7
R70:,B34
R71:,B24
R72:,B36
R73:,B30
R74:,B35
R75:,B19
R76:,B55
R77:,B17
R78:,B44
R79:,B20
R8:,B82
R80:,B74
R81:,B71
R82:,B47
R83:,B88
R84:,B51
R85:,B80
R86:,B40
R87:,B95
R88:,B43
R89:,B1
R9:,B4
R90:,B84
R91:,B72
R92:,B13
R93:,B31
R94:,B67
R95:,B9
R96:,B29
R97:,B77
R98:,B12
R99:,B10
