R0:,B66
R1:,B3
R10:,B1
R11:,B56
R12:,B88
R13:,B21
R14:,B26
R15:,B68
R16:,B12
R17:,B69
R18:,B18
R19:,B46
R2:,B51
R20:,B81
R21:,B11
R22:,B74
R23:,B97
R24:,B77
R25:,B50
R26:,B15
R27:,B86
R28:,B28
R29:,B4
R3:,B94
R30:,B25
R31:,B45
R32:,B48
R33:,B33
R34:,B35
R35:,B75
R36:,B89
R37:,B38
R38:,B78
R39:,B58
R4:,B9
R40:,B90
R41:,B22
R42:,B8
R43:,B10
R44:,B60
R45:,B23
R46:,B29
R47:,B43
R48:,B57
R49:,B91
R5:,B71
R50:,B67
R51:,B92
R52:,B5
R53:,B32
R54:,B76
R55:,B14
R56:,B83
R57:,B64
R58:,B2
R59:,B96
R6:,B30
R60:,B37
R61:,B99
R62:,B87
R63:,B95
R64:,B63
R65:,B41
R66:,B84
R67:,B47
R68:,B70
R69:,B72
R7:,B19
R70:,B20
R71:,B79
R72:,B36
R73:,B93
R74:,B80
R75:,B24
R76:,B34
R77:,B59
R78:,B39
R79:,B55
R8:,B61
R80:,B7
R81:,B53
R82:,B27
R83:,B13
R84:,B52
R85:,B16
R86:,B49
R87:,B82
R88:,B42
R89:,B17
R9:,B54
R90:,B6
R91:,B73
R92:,B85
R93:,B98
R94:,B0
R95:,B40
R96:,B44
R97:,B31
R98:,B62
R99:,B65
