B0:,R3
B1:,R89
B10:,R41
B11:,R54
B12:,R23
B13:,R92
B14:,R88
B15:,R9
B16:,R78
B17:,R99
B18:,R8
B19:,R48
B2:,R70
B20:,R91
B21:,R87
B22:,R75
B23:,R38
B24:,R1
B25:,R96
B26:,R74
B27:,R64
B28:,R6
B29:,R55
B3:,R46
B30:,R29
B31:,R60
B32:,R62
B33:,R28
B34:,R53
B35:,R58
B36:,R69
B37:,R83
B38:,R27
B39:,R12
B4:,R15
B40:,R85
B41:,R30
B42:,R33
B43:,R67
B44:,R49
B45:,R24
B46:,R56
B47:,R47
B48:,R61
B49:,R44
B5:,R72
B50:,R26
B51:,R80
B52:,R57
B53:,R82
B54:,R94
B55:,R39
B56:,R19
B57:,R66
B58:,R65
B59:,R52
B6:,R98
B60:,R4
B61:,R34
B62:,R79
B63:,R86
B64:,R37
B65:,R16
B66:,R84
B67:,R32
B68:,R42
B69:,R50
B7:,R36
B70:,R18
B71:,R97
B72:,R20
B73:,R0
B74:,R43
B75:,R51
B76:,R81
B77:,R68
B78:,R40
B79:,R73
B8:,R2
B80:,R14
B81:,R59
B82:,R13
B83:,R7
B84:,R71
B85:,R90
B86:,R25
B87:,R77
B88:,R21
B89:,R5
B9:,R35
B90:,R45
B91:,R63
B92:,R76
B93:,R31
B94:,R22
B95:,R95
B96:,R93
B97:,R11
B98:,R17
B99:,R10
